COWID,COWNUM,name,year,source
ADR,4351,Air ou Asben,1886,Drioux1886
ADR,4351,Asben,1892,Desbuissons1892
AIR,4361,Agades,1790,Schreiber1790II
AZA,4908,Kuba,1800,Kasule1998
BRG,4798,Borgu or Borku,1871,Bartholomew1871
BRG,4798,Borgo,1892,Desbuissons1892
BRG,4798,Borku,1883,Diercke1883
BRG,4798,Borku,1896,Dierke1896
DJA,4381,Fouta,1862,Garnier1862a
DJA,4381,Futa Jallon,,TimesAtlas_I
DJA,4381,Futa Jallon,1789,Hausa1789_1
EGT,651,Egypte,1892,Desbuissons1892
FDU,4045,Foladoo,1810,Rennel1810
FDU,4045,Fuladugu,1895,Sokoto_caliphate_1895_I
FTO,4331,Futa Toro,,TimesAtlas_I
FTO,4331,Futa Toro,1789,Hausa1789_1
