COWNum;COWID;StateName;OtherName;ISD_Category;Region;Start;Start_Am;EStart;EStart_Am;Declare;DecDate;Population;PopDate;PopAm;PopulationHigh;PopulationLow;StartType;StartType_Am;StartSettle;End;End_Am;EndType;EndType_Am;EndSettle;Sovereignty_Am;EuroDip;Borders;Borders_Am;Latitude;Longitude;VioStart;VioStart_Am;VioEnd;VioEnd_Am
4741;ABJ;Abuja Emirate;Suleja Emirate;3;1;01-01-1828;1;-9;-9;0;-9;-9;1952;1;70000;-9;1;0;0;31-12-1902;0;1;0;0;0;-9;0;1;9 4 0 N;7 29 0 E;0;0;1;0
4752;ADA;Adamawa;Adamawa Emirate Fombina Gongola;3;1;01-01-1841;0;-9;-9;0;-9;3000000;1882;0;-9;-9;2;0;0;14-11-1893;0;1;0;1;0;1;0;1;9 13 48 N;12 27 36 E;1;0;1;0
615;ALG;Algeria;-9;2;1;01-01-1816;0;1525;1;0;-9;2000000;1825;0;3500000;-9;2;0;0;21-12-1847;0;2;0;1;0;1;1;0;36 45 14 N;3 3 32 E;1;0;1;0
615;ALG;Algeria;-9;1;1;5-7-1962;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
540;ANG;Angola;-9;1;1;11-11-1975;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
5813;ANJ;Anjouan;Ndzuwani, Johanna;3;1;01-01-1816;0;1500;1;0;-9;30000;1750;1;-9;-9;1;0;0;31-12-1886;1;1;0;1;0;1;1;0;12 10 0 S;44 24 0 E;-9;-9;-9;1
5002;ANK;Ankole;Nkore Kimgdom;3;1;01-01-1816;0;1700;1;0;-9;100000;1950;0;25000;25000;2;0;0;31-12-1898;0;1;0;1;0;1;0;0;0 36 36.4 S;30 38 27.2 E;1;0;1;0
4797;ARO;Aro Confederacy;Arochukwu;3;1;01-01-1816;0;1690;1;0;-9;-9;-9;1;-9;-9;1;0;0;31-01-1902;0;1;0;0;0;1;0;1;5 23 0 N;7 55 0 E;1;0;1;0
4521;AST;Ashanti;Asante Empire;1;1;01-01-1816;0;1690;1;0;-9;500000;1800;0;3000000;349000;1;1;0;17-01-1896;0;1;0;0;0;1;1;1;6 41 45.1 N;1 36 51.8 W;1;1;1;0
4908;AZA;Azanda;Zande Kingdom, Bakuba, Bushongo;2;1;01-01-1816;0;1750;1;0;-9;1200000;1895;0;2000000;750000;1;1;0;17-01-1896;1;1;0;0;0;1;0;1;5 36 45.2 N;28 19 45.3 E;1;0;1;0
4831;BRG;Bagirmi;Baguirmi;3;1;01-01-1816;0;1522;1;0;-9;100000;1903;0;-9;15000;1;0;0;31-12-1897;0;1;0;1;1;1;0;1;11 24 0 N;16 10 0 E;1;0;1;0
434;BEN;Benin;-9;1;1;1-8-1960;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
4776;BNE;Benin Empire;Benin Kingdom;3;1;01-01-1816;0;1473;1;0;-9;1500000;1834;0;-9;1500000;1;0;0;17-02-1897;0;1;0;0;0;1;0;0;6 20 05.8 N;5 37 03.9 E;1;0;1;0
