gid,year,barren_ih,bdist3,capdist,excluded,forest_ih,gwno,water_ih
"49182","2010",,"27.00977","2480.495",,,"155",
"49183","2010",,"27.12578","2482.505",,,"155",
"49184","2010",,"10.18223","2485.117",,,"155",
"49185","2010",,"7.886445","2488.327",,,"155",
"49186","2010","100","0.3809285","2492.133",,"0","155","0"
"49898","2010",,"27.42247","2422.83",,,"155",
"49899","2010",,"13.28161","2422.414",,,"155",
"49900","2010",,"12.1351","2422.622",,,"155",
"49901","2010","99.99","0.4221811","2423.455",,"0","155","0"
"49902","2010","99.95","2.83428","2424.913",,"0","155","0"
"49903","2010","99.97","2.030373","2426.993",,"0","155","0"
"49904","2010","99.82","0.5473277","2429.696","1","0","155","0"
"49905","2010","100","1.788029","2433.017","1","0","155","0"
"49906","2010","100","4.450866","2436.955","1","0","155","0"
"49907","2010","99.99","6.004993","2441.506",,"0","155","0"
"49908","2010",,"12.09737","2446.667",,,"155",
"50616","2010",,"21.7314","2369.986",,,"155",
"50617","2010",,"11.66049","2368.262",,,"155",
"50618","2010","99.83","6.559494","2367.184",,"0","155","0"
"50619","2010","57.12","1.404606","2366.752",,"0","155","40.52"
"50620","2010","70.33","1.346115","2366.968",,"0","155","29.1"
"50621","2010","75.2","2.068148","2367.83",,"0","155","24.79"
"50622","2010","79.81","10.77231","2369.339",,"0","155","20.19"
"50623","2010","76.32","7.388825","2371.493",,"0","155","19.28"
"50624","2010","46.92","7.457746","2360.654","0","0","160","29.93"
"50625","2010","51.21","14.75308","2348.736","0","0","160","24.37"
"50626","2010","46.79","15.78034","2337.398","0","0","160","19.51"
"50627","2010","52.36","21.57345","2326.65","0","0","160","6.2"
"50628","2010","50.68","21.45128","2316.499","0","0","160","9.25"
"50629","2010","83.96","9.14267","2306.955","0","0","160","0"
"50630","2010",,"3.078621","2298.024","0",,"160",
"50631","2010",,"4.738291","2289.715","0",,"160",
"50632","2010",,"1.587603","2282.034","0",,"160",
"50633","2010",,"4.746165","2274.989","0",,"160",
"51078","2010",,"5.29934","2285.228","0",,"900",
"51334","2010",,"12.82217","2320.013",,,"155",
"51335","2010",,"13.53418","2316.896",,,"155",
"51336","2010","99.81","2.774678","2314.444",,"0","155","0"
"51337","2010","99.67","0.2455321","2312.658",,"0","155","0"
"51338","2010","99.6","8.747995","2311.542",,"0","155","0"
"51339","2010","52.61","2.048447","2311.095",,"0","155","43.32"
"51340","2010","46.92","1.366565","2311.319",,"0","155","49.07"
"51341","2010","35.31","5.27198","2312.212",,"0","155","36.49"
"51342","2010","59.53","8.473463","2313.774","1","0","155","25.21"
"51343","2010","76.04","7.753832","2316.004","1","0","155","3.78"
"51344","2010","55.76","24.83712","2309.242","0","0","160","0.03"
"51345","2010","36.56","35.40173","2296.92","0","0","160","5.39"
"51346","2010","27.95","15.50322","2285.195","0","0","160","15.64"
"51347","2010","15.68","1.669139","2274.075","0","0","160","57.91"
"51348","2010",,"26.05381","2263.572","0",,"160",
"51798","2010",,"28.67039","2233.983","0",,"900",
"52053","2010",,"11.41916","2268.594",,,"155",
"52054","2010","99.38","0.2434132","2264.68",,"0","155","0"
"52055","2010","66.41","8.755453","2261.451",,"0","155","31.02"
"52056","2010","54.7","1.93256","2258.912",,"0","155","41.44"
"52057","2010","51.85","3.396787","2257.063","0","0","155","34.43"
"52058","2010","42.98","13.05876","2255.906","0","0","155","27.2"
"52059","2010","21.24","2.751454","2255.443","0","0","155","0"
"52060","2010",,"5.144159","2255.675",,,"155",
"52061","2010","0","11.42416","2256.6","1","0","155","30.68"
"52062","2010","0","26.87988","2258.218","1","0","155","7.23"
"52063","2010","0","8.162303","2260.528","1","0","155","0.97"
"52064","2010","0","24.27461","2258.028","0","0","160","0.75"
"52065","2010","0","0.7328309","2245.285","0","0","160","0"
"52066","2010",,"23.89853","2233.155","0",,"160",
"52772","2010",,"4.404854","2218.183",,,"155",
"52773","2010",,"8.021221","2213.422",,,"155",
"52774","2010","99.67","2.781101","2209.367",,"0","155","0"
"52775","2010","57.94","3.150514","2206.022",,"0","155","30.43"
"52776","2010","22.4","0.2770934","2203.39",,"0","155","34.68"
"52777","2010","0","0.1871252","2201.474","0","0","155","46.81"
"52778","2010","0","16.30432","2200.275","0","0","155","12.06"
"52779","2010",,"14.07903","2199.796","0",,"155",
"52780","2010","0","15.62195","2200.035","1","0","155","0"
"52781","2010","0","9.792874","2200.994","1","0","155","26.41"
"52782","2010","0","12.79217","2202.672","1","0","155","10.29"
"52783","2010","0","8.427679","2205.065","1","0","155","2.52"
"52784","2010","0","4.402358","2207.023","0","0","160","63.94"
"53491","2010",,"0.8573576","2168.872",,,"155",
"53492","2010",,"18.01671","2163.212",,,"155",
"53493","2010","2.77","4.914683","2158.279",,"0","155","63.77"
"53494","2010","46.75","0.2307197","2154.076",,"0","155","29.36"
"53495","2010","9.56","0.7780419","2150.608",,"0","155","37.36"
"53496","2010","0","2.623763","2147.879","0","0","155","37.21"
"53497","2010","0","6.698904","2145.893","0","0","155","35.8"
"53498","2010","0","5.016377","2144.65","0","0","155","28.44"
"53499","2010","0","2.664477","2144.153","0","0","155","36.42"
"53500","2010","0","2.656968","2144.402","1","0","155","52.98"
"53501","2010","0","1.355667","2145.396","0","0","155","42.2"
"53502","2010","0","9.774325","2147.135","1","0","155","20.47"
"53503","2010","0","8.773049","2149.616","1","0","155","0"
"53504","2010",,"14.96719","2156.243","0",,"160",
"53979","2010",,"19.74446","1339.601",,,"920",
"54210","2010",,"24.14584","2120.759",,,"155",
"54211","2010","42.65","3.408519","2114.147",,"0","155","0"
"54212","2010","0","1.106524","2108.28",,"0","155","0"
"54213","2010","0","3.028778","2103.165",,"0","155","49.56"
"54214","2010","0","3.909155","2098.807",,"0","155","19.2"
"54215","2010","0","5.724139","2095.21",,"0","155","28.4"
"54216","2010","0","15.41548","2092.38","0","0","155","3.94"
"54217","2010","0","28.18406","2090.32","0","0","155","0.05"
"54218","2010","0","28.09337","2089.031","0","0","155","0.34"
"54219","2010","0","28.07451","2088.515","0","0","155","0.01"
"54220","2010","0","28.15278","2088.773","0","0","155","0.1"
"54221","2010","0","18.66379","2089.804","0","0","155","2.9"
"54222","2010","0","11.3829","2135.875","1","0","160","51.46"
"54223","2010","0","4.141283","2120.47","1","0","160","0"
"54224","2010",,"11.41317","2105.703","1",,"160",
"54699","2010",,"21.79406","1287.583",,,"920",
"54930","2010",,"11.51068","2066.331",,,"155",
"54931","2010",,"1.369092","2059.475",,,"155",
"54932","2010",,"4.074657","2053.39",,,"155",
"54933","2010","0","1.053453","2048.083",,"0","155","48.96"
"54934","2010","28.38","4.409626","2043.562","0","16.52","155","27.06"
"54935","2010","0","5.227608","2039.83","0","0","155","42.41"
"54936","2010","0","4.623751","2036.893","0","0","155","7.5"
"54937","2010","0","18.55925","2175.562","1","0","160","0.69"
"54938","2010","0","27.54028","2156.596","0","0","160","0.2"
"54939","2010","0","27.55896","2138.205","0","0","160","0.06"
"54940","2010","0","27.47993","2120.404","0","0","160","0.66"
"54941","2010","0","17.04041","2103.21","1","0","160","0.55"
"54942","2010","0","13.78634","2086.638","1","0","160","8.38"
"54943","2010",,"8.785037","2070.703","1",,"160",
"55650","2010",,"6.144776","2011.971",,,"155",
"55651","2010","0","5.183547","2004.858",,"0","155","0"
"55652","2010","0","0.6609473","1998.543",,"0","155","0"
"55653","2010","17.94","1.15899","1993.036",,"0","155","27.71"
"55654","2010","41.9","22.91816","1988.342","0","19.94","155","14.96"
"55655","2010","0","28.02891","1984.468","0","10.27","155","18.35"
"55656","2010","0","0.3664299","2149.741","1","1.81","160","0.59"
"55657","2010","0","34.91452","2129.595","1","6.83","160","0.31"
"55658","2010","0","69.81544","2110.018","0","0","160","0"
"55659","2010","0","83.18767","2091.025","0","0","160","0.09"
"55660","2010","0","60.96269","2072.633","0","0","160","0.09"
"55661","2010","0","30.63053","2054.86","0","0","160","0.47"
"55662","2010","0","10.67821","2037.721","0","0","160","16.75"
"55663","2010",,"22.95119","2021.234","0",,"160",
"56369","2010",,"19.0414","1965.887",,,"155",
"56370","2010",,"1.366175","1957.685",,,"155",
"56371","2010","0","2.285991","1950.301",,"0","155","53.12"
"56372","2010","0","3.719956","1943.745",,"0","155","35.45"
"56373","2010","52.01","2.152732","1938.026",,"0","155","25.81"
"56374","2010","82.15","5.309806","1933.15","0","2.99","155","7.74"
"56375","2010","2.62","11.07178","1929.126","0","12.5","155","5.27"
"56376","2010","0","5.034659","2104.872","1","9.01","160","0.63"
"56377","2010","0","36.62408","2084.085","1","10.49","160","0.06"
"56378","2010","0","70.93728","2063.875","0","0","160","0.02"
"56379","2010","0","101.3834","2044.258","1","0","160","0.33"
"56380","2010","0","69.7155","2025.253","1","0","160","0.53"
"56381","2010","0","41.52307","2006.877","0","0","160","0.66"
"56382","2010","0","7.360793","1989.149","0","0","160","26.29"
"56852","2010",,"10.78186","1259.877",,,"920",
"56853","2010",,"1.526061","1239.051",,,"920",
"57090","2010","0","0.4233066","1903.478",,"0","155","0"
"57091","2010","0","5.955988","1895.809","1","0","155","54.49"
"57092","2010","5.34","4.878361","1888.998","1","0","155","34.86"
"57093","2010","82.61","9.41774","1883.055",,"0","155","11.94"
"57094","2010","52.43","5.180653","2105.082","1","0","160","24.86"
"57095","2010","3.88","38.57233","2082.523","0","12.81","160","23.39"
"57096","2010","0","41.43089","2060.511","1","3.67","160","29.1"
"57097","2010","9.04","59.16848","2039.063","0","1.62","160","1.15"
"57098","2010","0","86.63277","2018.197","0","1.63","160","0.45"
"57099","2010","0","118.4539","1997.934","1","0","160","0.3"
"57100","2010","0","89.22759","1978.292","1","0","160","0.53"
"57101","2010","8.19","57.19909","1959.29","0","0","160","0.58"
"57102","2010","16.82","26.82897","1940.948","0","0","160","0.76"
"57103","2010","0","3.204339","1923.286","0","0","160","0"
"57104","2010",,"12.9803","1906.322","0",,"160",
"57105","2010",,"29.02412","1890.078","0",,"160",
"57809","2010",,"11.13964","1858.206",,,"155",
"57810","2010","0","0.09258791","1849.357","1","0","155","0"
"57811","2010","11.3","10.42143","1841.386","1","0","155","25.26"
"57812","2010","0","1.323847","1834.306","1","0","155","39.77"
"57813","2010","82.43","0.6277722","1828.127","1","0","155","16.95"
"57814","2010","72.33","14.82643","2062.646","1","0","160","7.54"
"57815","2010","5.52","50.37657","2039.395","1","0.76","160","27.41"
"57816","2010","13.48","80.94993","2016.693","1","0","160","29.07"
"57817","2010","7.49","105.869","1994.56","1","0","160","0.56"
"57818","2010","5.11","125.0287","1973.016","0","0.31","160","0.52"
"57819","2010","5.37","128.8498","1952.083","0","0.1","160","0.03"
"57820","2010","12.31","94.17402","1931.779","0","0","160","0.04"
"57821","2010","13.45","60.97365","1912.125","0","0","160","0.02"
"57822","2010","13.73","33.51066","1893.144","0","0","160","0.03"
"57823","2010","0","22.86925","1874.856","0","0","160","5.64"
"57824","2010","5.42","31.23983","1857.281","0","0","160","1.21"
"57825","2010","0","0.9823508","1840.442","0","0","160","0"
"58318","2010",,"3.326664","988.5841",,,"920",
"58529","2010","0","7.834823","1804.529",,"0","155","0"
"58530","2010","0","1.730179","1795.329","1","0","155","0"
"58531","2010","2.67","9.00676","1787.04","1","0","155","15.5"
"58532","2010","10","9.286415","1779.675","1","0","155","29.17"
"58533","2010","81.36","12.88711","1773.245","1","0","155","13.65"
"58534","2010","91.7","5.539125","2020.831","1","0","160","2.63"
"58535","2010","16.76","24.58765","1996.865","1","10.35","160","6.57"
"58536","2010","7.51","51.06747","1973.452","1","6.36","160","10.95"
"58537","2010","0","77.3595","1950.612","1","0.05","160","0.92"
"58538","2010","9.69","108.1894","1928.367","1","0","160","1.24"
"58539","2010","9.78","141.6131","1906.738","0","0","160","0.29"
"58540","2010","10.06","123.5142","1885.747","0","0","160","0.01"
"58541","2010","0","99.81686","1865.417","0","0","160","0"
"58542","2010","5.48","84.61646","1845.769","0","0","160","0.24"
"58543","2010","0","68.7434","1826.827","0","0","160","0.11"
"58544","2010","0","34.19582","1808.614","0","0","160","0.4"
"58545","2010","0","3.705974","1791.152","0","0","160","0"
"59249","2010",,"7.14093","1750.974",,,"155",
"59250","2010","0","1.500468","1741.403","1","0","155","0"
"59251","2010","0","7.354052","1732.777","1","0","155","27.4"
"59252","2010","9.38","1.598587","1725.109","1","0","155","36.1"
"59253","2010","85.9","23.15097","1718.414","1","0","155","6.15"
"59254","2010","87.64","32.1058","1712.701",,"0","155","6.81"
"59255","2010","22.15","14.30408","1707.982",,"10.48","155","29.67"
"59256","2010","24.86","22.22034","1930.828","1","7.33","160","8.31"
"59257","2010","18.92","58.98732","1907.258","1","0.76","160","0.98"
"59258","2010","5.3","88.97958","1884.286","1","0","160","16.85"
"59259","2010","7.52","122.3062","1861.937","1","0","160","0.15"
"59260","2010","0","157.2422","1840.233","0","0","160","0.01"
"59261","2010","0","149.0933","1819.198","0","0","160","0"
"59262","2010","7.89","124.6651","1798.856","0","0","160","0.05"
"59263","2010","18.49","91.08479","1779.232","0","0","160","0.16"
"59264","2010","17.31","58.44394","1760.351","0","0","160","0.27"
"59265","2010","15.82","29.86764","1742.237","0","0","160","0.34"
"59266","2010","3.01","3.691831","1724.915","0","0","160","39.23"
"59267","2010",,"20.76433","1708.411","0",,"160",
"59969","2010",,"13.94008","1697.552",,,"155",
"59970","2010","0","0.07429469","1687.588",,"0","155","0"
"59971","2010","4.66","3.30929","1678.604",,"0","155","47.82"
"59972","2010","12.18","3.262817","1670.615","1","0","155","28.7"
"59973","2010","71.89","13.74427","1663.637",,"0","155","24.19"
"59974","2010","67.8","9.282974","1657.682",,"0","155","11.69"
"59975","2010","10.19","26.16539","1652.762",,"30.2","155","7.02"
"59976","2010","18.76","3.496142","1888.861","0","14.56","160","2.48"
"59977","2010","0","40.59919","1864.537","0","1.46","160","3.81"
"59978","2010","2.82","77.69192","1840.815","1","0","160","5.62"
"59979","2010","2.74","114.7727","1817.719","0","0","160","0.12"
"59980","2010","14.44","151.8401","1795.274","0","0","160","0.03"
"59981","2010","0","182.0945","1773.506","0","0","160","0.19"
"59982","2010","0","150.8816","1752.441","0","0","160","0.02"
"59983","2010","2.74","122.3229","1732.105","0","0","160","0.08"
"59984","2010","30.15","94.9865","1712.525","0","0","160","0.12"
"59985","2010","32.48","65.54337","1693.728","0","0","160","0.06"
"59986","2010","8.24","44.00941","1675.74","0","0","160","0.04"
