gid,year,excluded,gcp_mer,gwno,pop_gpw_sum,urban_ih
"49182","2014",,,"155",,
"49183","2014",,,"155",,
"49184","2014",,,"155",,
"49185","2014",,,"155",,
"49186","2014",,,"155",,
"49898","2014",,,"155",,
"49899","2014",,,"155",,
"49900","2014",,,"155",,
"49901","2014",,,"155",,
"49902","2014",,,"155",,
"49903","2014",,,"155",,
"49904","2014",,,"155",,
"49905","2014",,,"155",,
"49906","2014",,,"155",,
"49907","2014",,,"155",,
"49908","2014",,,"155",,
"50616","2014",,,"155",,
"50617","2014",,,"155",,
"50618","2014",,,"155",,
"50619","2014",,,"155",,
"50620","2014",,,"155",,
"50621","2014",,,"155",,
"50622","2014",,,"155",,
"50623","2014",,,"155",,
"50624","2014",,,"160",,
"50625","2014",,,"160",,
"50626","2014",,,"160",,
"50627","2014",,,"160",,
"50628","2014",,,"160",,
"50629","2014",,,"160",,
"50630","2014",,,"160",,
"50631","2014",,,"160",,
"50632","2014",,,"160",,
"50633","2014",,,"160",,
"51078","2014",,,"900",,
"51334","2014",,,"155",,
"51335","2014",,,"155",,
"51336","2014",,,"155",,
"51337","2014",,,"155",,
"51338","2014",,,"155",,
"51339","2014",,,"155",,
"51340","2014",,,"155",,
"51341","2014",,,"155",,
"51342","2014",,,"155",,
"51343","2014",,,"155",,
"51344","2014",,,"160",,
"51345","2014",,,"160",,
"51346","2014",,,"160",,
"51347","2014",,,"160",,
"51348","2014",,,"160",,
"51798","2014",,,"900",,
"52053","2014",,,"155",,
"52054","2014",,,"155",,
"52055","2014",,,"155",,
"52056","2014",,,"155",,
"52057","2014",,,"155",,
"52058","2014",,,"155",,
"52059","2014",,,"155",,
"52060","2014",,,"155",,
"52061","2014",,,"155",,
"52062","2014",,,"155",,
"52063","2014",,,"155",,
"52064","2014",,,"160",,
"52065","2014",,,"160",,
"52066","2014",,,"160",,
"52772","2014",,,"155",,
"52773","2014",,,"155",,
"52774","2014",,,"155",,
"52775","2014",,,"155",,
"52776","2014",,,"155",,
"52777","2014",,,"155",,
"52778","2014",,,"155",,
"52779","2014",,,"155",,
"52780","2014",,,"155",,
"52781","2014",,,"155",,
"52782","2014",,,"155",,
"52783","2014",,,"155",,
"52784","2014",,,"160",,
"53491","2014",,,"155",,
"53492","2014",,,"155",,
"53493","2014",,,"155",,
"53494","2014",,,"155",,
"53495","2014",,,"155",,
"53496","2014",,,"155",,
"53497","2014",,,"155",,
"53498","2014",,,"155",,
"53499","2014",,,"155",,
"53500","2014",,,"155",,
"53501","2014",,,"155",,
"53502","2014",,,"155",,
"53503","2014",,,"155",,
"53504","2014",,,"160",,
"53979","2014",,,"920",,
"54210","2014",,,"155",,
"54211","2014",,,"155",,
"54212","2014",,,"155",,
"54213","2014",,,"155",,
"54214","2014",,,"155",,
"54215","2014",,,"155",,
"54216","2014",,,"155",,
"54217","2014",,,"155",,
"54218","2014",,,"155",,
"54219","2014",,,"155",,
"54220","2014",,,"155",,
"54221","2014",,,"155",,
"54222","2014",,,"160",,
"54223","2014",,,"160",,
"54224","2014",,,"160",,
"54699","2014",,,"920",,
"54930","2014",,,"155",,
"54931","2014",,,"155",,
"54932","2014",,,"155",,
"54933","2014",,,"155",,
"54934","2014",,,"155",,
"54935","2014",,,"155",,
"54936","2014",,,"155",,
"54937","2014",,,"160",,
"54938","2014",,,"160",,
"54939","2014",,,"160",,
"54940","2014",,,"160",,
"54941","2014",,,"160",,
"54942","2014",,,"160",,
"54943","2014",,,"160",,
"55650","2014",,,"155",,
"55651","2014",,,"155",,
"55652","2014",,,"155",,
"55653","2014",,,"155",,
"55654","2014",,,"155",,
"55655","2014",,,"155",,
"55656","2014",,,"160",,
"55657","2014",,,"160",,
"55658","2014",,,"160",,
"55659","2014",,,"160",,
"55660","2014",,,"160",,
"55661","2014",,,"160",,
"55662","2014",,,"160",,
"55663","2014",,,"160",,
"56369","2014",,,"155",,
"56370","2014",,,"155",,
"56371","2014",,,"155",,
"56372","2014",,,"155",,
"56373","2014",,,"155",,
"56374","2014",,,"155",,
"56375","2014",,,"155",,
"56376","2014",,,"160",,
"56377","2014",,,"160",,
"56378","2014",,,"160",,
"56379","2014",,,"160",,
"56380","2014",,,"160",,
"56381","2014",,,"160",,
"56382","2014",,,"160",,
"56852","2014",,,"920",,
"56853","2014",,,"920",,
"57090","2014",,,"155",,
"57091","2014",,,"155",,
"57092","2014",,,"155",,
"57093","2014",,,"155",,
"57094","2014",,,"160",,
"57095","2014",,,"160",,
"57096","2014",,,"160",,
"57097","2014",,,"160",,
"57098","2014",,,"160",,
"57099","2014",,,"160",,
"57100","2014",,,"160",,
"57101","2014",,,"160",,
"57102","2014",,,"160",,
"57103","2014",,,"160",,
"57104","2014",,,"160",,
"57105","2014",,,"160",,
"57809","2014",,,"155",,
"57810","2014",,,"155",,
"57811","2014",,,"155",,
"57812","2014",,,"155",,
"57813","2014",,,"155",,
"57814","2014",,,"160",,
"57815","2014",,,"160",,
"57816","2014",,,"160",,
"57817","2014",,,"160",,
"57818","2014",,,"160",,
"57819","2014",,,"160",,
"57820","2014",,,"160",,
"57821","2014",,,"160",,
"57822","2014",,,"160",,
"57823","2014",,,"160",,
"57824","2014",,,"160",,
"57825","2014",,,"160",,
"58318","2014",,,"920",,
"58529","2014",,,"155",,
"58530","2014",,,"155",,
"58531","2014",,,"155",,
"58532","2014",,,"155",,
"58533","2014",,,"155",,
"58534","2014",,,"160",,
"58535","2014",,,"160",,
"58536","2014",,,"160",,
"58537","2014",,,"160",,
"58538","2014",,,"160",,
"58539","2014",,,"160",,
"58540","2014",,,"160",,
"58541","2014",,,"160",,
"58542","2014",,,"160",,
"58543","2014",,,"160",,
"58544","2014",,,"160",,
"58545","2014",,,"160",,
"59249","2014",,,"155",,
"59250","2014",,,"155",,
"59251","2014",,,"155",,
"59252","2014",,,"155",,
"59253","2014",,,"155",,
"59254","2014",,,"155",,
"59255","2014",,,"155",,
"59256","2014",,,"160",,
"59257","2014",,,"160",,
"59258","2014",,,"160",,
"59259","2014",,,"160",,
"59260","2014",,,"160",,
"59261","2014",,,"160",,
"59262","2014",,,"160",,
"59263","2014",,,"160",,
"59264","2014",,,"160",,
"59265","2014",,,"160",,
"59266","2014",,,"160",,
"59267","2014",,,"160",,
"59969","2014",,,"155",,
"59970","2014",,,"155",,
"59971","2014",,,"155",,
"59972","2014",,,"155",,
"59973","2014",,,"155",,
"59974","2014",,,"155",,
"59975","2014",,,"155",,
"59976","2014",,,"160",,
"59977","2014",,,"160",,
"59978","2014",,,"160",,
"59979","2014",,,"160",,
"59980","2014",,,"160",,
"59981","2014",,,"160",,
"59982","2014",,,"160",,
"59983","2014",,,"160",,
"59984","2014",,,"160",,
"59985","2014",,,"160",,
"59986","2014",,,"160",,
"59987","2014",,,"160",,
"59988","2014",,,"160",,
"59989","2014",,,"160",,
"60690","2014",,,"155",,
"60691","2014",,,"155",,
"60692","2014",,,"155",,
"60693","2014",,,"155",,
"60694","2014",,,"155",,
"60695","2014",,,"155",,
"60696","2014",,,"160",,
"60697","2014",,,"160",,
"60698","2014",,,"160",,
"60699","2014",,,"160",,
"60700","2014",,,"160",,
"60701","2014",,,"160",,
"60702","2014",,,"160",,
"60703","2014",,,"160",,
"60704","2014",,,"160",,
"60705","2014",,,"160",,
"60706","2014",,,"160",,
